Annotation Name,Area (µm^2),Cell Count,Transcript Count
Y2-TA-2_LGD-1,33992.65,429,0
Y2-TA-2_LGD-2,67313.05,573,0
T1-TA-1_LGD-1,240297.07,2028,0
Y1-TA-1_LGD-1,626162.13,6642,0
Y1-TA-2_LGD-1,24029.42,363,0
Y1-TA-2_LGD-2,12726.25,183,0
Y1-TA-2_LGD-3,16006.05,180,0
Y1-TA-2_LGD-4,10246.09,93,0
R1-CA-2_LGD-1,788938.79,6022,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
Y2-TA-2_LGD-1,jfgdccpf-1,Cluster 17,0,35.45
Y2-TA-2_LGD-1,ahlagjjj-1,Cluster 17,0,32.06
Y2-TA-2_LGD-1,ahladbdk-1,Cluster 3,0,22.58
Y2-TA-2_LGD-1,ahlaheli-1,Cluster 2,0,51.66
Y2-TA-2_LGD-1,ahlbfmjf-1,Cluster 17,0,45.38
Y2-TA-2_LGD-1,ahlkjjfb-1,Cluster 17,0,36.08
Y2-TA-2_LGD-1,jfgdahmo-1,Cluster 12,0,5.10
Y2-TA-2_LGD-1,jfgcaggi-1,Cluster 8,0,50.12
Y2-TA-2_LGD-1,ahlannmi-1,Cluster 2,0,84.76
Y2-TA-2_LGD-1,jfgcincl-1,Cluster 5,0,54.82
Y2-TA-2_LGD-1,jfgdddea-1,Cluster 12,0,51.70
Y2-TA-2_LGD-1,jfgddkla-1,Cluster 17,0,31.47
Y2-TA-2_LGD-1,ahlkfked-1,Cluster 17,0,48.99
Y2-TA-2_LGD-1,ahlklkon-1,Cluster 2,0,50.94
Y2-TA-2_LGD-1,jfgdfnlg-1,Cluster 3,0,24.52
Y2-TA-2_LGD-1,ahlklphc-1,Cluster 2,0,31.65
Y2-TA-2_LGD-1,ahlaeonc-1,Cluster 2,0,45.11
Y2-TA-2_LGD-1,jfgcomab-1,Cluster 17,0,42.90
Y2-TA-2_LGD-1,ahlbbpgo-1,Cluster 10,0,38.11
Y2-TA-2_LGD-1,jfgliigd-1,Cluster 3,0,13.95
Y2-TA-2_LGD-1,jfgdghml-1,Cluster 6,0,58.66
Y2-TA-2_LGD-1,ahlbcjdi-1,Cluster 2,0,93.65
Y2-TA-2_LGD-1,jfgdgiho-1,Cluster 6,0,68.55
Y2-TA-2_LGD-1,ahlknhno-1,Cluster 18,0,42.90
Y2-TA-2_LGD-1,ahlkieec-1,Cluster 6,0,38.92
Y2-TA-2_LGD-1,jfgmadin-1,Cluster 3,0,9.53
Y2-TA-2_LGD-1,jfgmgjhh-1,Cluster 3,0,11.02
Y2-TA-2_LGD-1,jfglpdjf-1,Cluster 17,0,29.76
Y2-TA-2_LGD-1,ahlkcgal-1,Cluster 2,0,68.86
Y2-TA-2_LGD-1,jfgbihlo-1,Cluster 8,0,51.88
Y2-TA-2_LGD-1,jfgdmbje-1,Cluster 7,0,46.65
Y2-TA-2_LGD-1,jflldijb-1,Cluster 2,0,30.44
Y2-TA-2_LGD-1,jfgbhmhp-1,Cluster 3,0,11.83
Y2-TA-2_LGD-1,jfgakjlo-1,Cluster 11,0,74.10
Y2-TA-2_LGD-1,jfgbdbdf-1,Cluster 17,0,43.26
Y2-TA-2_LGD-1,jfgbdbkc-1,Cluster 3,0,13.10
Y2-TA-2_LGD-1,jfgbfjfm-1,Cluster 6,0,111.58
Y2-TA-2_LGD-1,jfgbblpf-1,Cluster 2,0,42.85
Y2-TA-2_LGD-1,jfgknkhp-1,Cluster 2,0,84.49
Y2-TA-2_LGD-1,jfgbdlpd-1,Cluster 6,0,50.44
Y2-TA-2_LGD-1,jfgainji-1,Cluster 6,0,24.47
Y2-TA-2_LGD-1,ahliminc-1,Cluster 17,0,16.53
Y2-TA-2_LGD-1,ahliahij-1,Cluster 2,0,99.61
Y2-TA-2_LGD-1,ahliljpo-1,Cluster 2,0,73.65
Y2-TA-2_LGD-1,jfglebpl-1,Cluster 6,0,18.79
Y2-TA-2_LGD-1,jfgbclbn-1,Cluster 2,0,25.78
Y2-TA-2_LGD-1,jfgbcdcp-1,Cluster 17,0,48.05
Y2-TA-2_LGD-1,ahlidfkh-1,Cluster 19,0,82.27
Y2-TA-2_LGD-1,ahliklkm-1,Cluster 2,0,85.44
Y2-TA-2_LGD-1,jfgllojo-1,Cluster 2,0,44.12
Y2-TA-2_LGD-1,jfglkodd-1,Cluster 6,0,26.46
Y2-TA-2_LGD-1,jfmfhcbn-1,Cluster 3,0,43.80
Y2-TA-2_LGD-1,jfglmebp-1,Cluster 17,0,29.44
Y2-TA-2_LGD-1,jfgknlgc-1,Cluster 2,0,42.13
Y2-TA-2_LGD-1,jfgleibf-1,Cluster 17,0,64.93
Y2-TA-2_LGD-1,jfglkhlf-1,Cluster 6,0,47.14
Y2-TA-2_LGD-1,jfgldgbd-1,Cluster 2,0,47.14
Y2-TA-2_LGD-1,jfmfhhbd-1,Cluster 2,0,113.79
Y2-TA-2_LGD-1,ahliljco-1,Cluster 2,0,52.16
Y2-TA-2_LGD-1,jfglflng-1,Cluster 3,0,10.84
Y2-TA-2_LGD-1,jflljkbb-1,Cluster 17,0,13.05
Y2-TA-2_LGD-1,jfmfghka-1,Cluster 3,0,56.72
Y2-TA-2_LGD-1,jfglonel-1,Cluster 3,0,32.56
Y2-TA-2_LGD-1,jfgmfdlc-1,Cluster 6,0,20.55
Y2-TA-2_LGD-1,jfgmjden-1,Cluster 3,0,27.09
Y2-TA-2_LGD-1,jfglfimf-1,Cluster 17,0,43.67
Y2-TA-2_LGD-1,jfgljflm-1,Cluster 6,0,49.40
Y2-TA-2_LGD-1,jfglmmeh-1,Cluster 3,0,24.47
Y2-TA-2_LGD-1,jflloghb-1,Cluster 17,0,25.74
Y2-TA-2_LGD-1,jfjpiemn-1,Cluster 3,0,12.19
Y2-TA-2_LGD-1,jflhalah-1,Cluster 3,0,19.28
Y2-TA-2_LGD-1,jfjomnph-1,Cluster 3,0,29.13
Y2-TA-2_LGD-1,jfknidgc-1,Cluster 3,0,20.95
Y2-TA-2_LGD-1,jfklcpmf-1,Cluster 7,0,38.79
Y2-TA-2_LGD-1,jfkmcdnp-1,Cluster 3,0,23.53
Y2-TA-2_LGD-1,jfjonhoo-1,Cluster 1,0,50.85
Y2-TA-2_LGD-1,jfklfkje-1,Cluster 7,0,36.17
Y2-TA-2_LGD-1,jflhbfnn-1,Cluster 12,0,67.64
Y2-TA-2_LGD-1,jfkmioee-1,Cluster 7,0,46.19
Y2-TA-2_LGD-1,jfjomhoc-1,Cluster 3,0,50.58
Y2-TA-2_LGD-1,jfkjfpjj-1,Cluster 16,0,62.23
Y2-TA-2_LGD-1,jfkpiaom-1,Cluster 17,0,32.47
Y2-TA-2_LGD-1,jfllpoig-1,Cluster 12,0,65.21
Y2-TA-2_LGD-1,jflgpklm-1,Cluster 3,0,44.75
Y2-TA-2_LGD-1,jfkplpkp-1,Cluster 3,0,26.10
Y2-TA-2_LGD-1,ahlhokcp-1,Cluster 17,0,60.33
Y2-TA-2_LGD-1,jfkjekol-1,Cluster 12,0,60.10
Y2-TA-2_LGD-1,jfkpoacl-1,Cluster 3,0,32.74
Y2-TA-2_LGD-1,jfkoijlj-1,Cluster 2,0,47.28
Y2-TA-2_LGD-1,jfkjgbni-1,Cluster 5,0,40.32
Y2-TA-2_LGD-1,ahlhniop-1,Cluster 2,0,69.31
Y2-TA-2_LGD-1,jfkoicdf-1,Cluster 3,0,12.78
Y2-TA-2_LGD-1,jfkofphl-1,Cluster 17,0,50.98
Y2-TA-2_LGD-1,jfkpegkk-1,Cluster 3,0,46.38
Y2-TA-2_LGD-1,jflgieap-1,Cluster 12,0,47.50
Y2-TA-2_LGD-1,jflglgmf-1,Cluster 5,0,26.01
Y2-TA-2_LGD-1,jfkjkhbg-1,Cluster 5,0,62.09
Y2-TA-2_LGD-1,jflgkici-1,Cluster 3,0,34.77
Y2-TA-2_LGD-1,jfknbool-1,Cluster 13,0,50.08
Y2-TA-2_LGD-1,jfkjkgde-1,Cluster 5,0,33.24
Y2-TA-2_LGD-1,jfkjmmmn-1,Cluster 13,0,44.12
Y2-TA-2_LGD-1,jfkoobab-1,Cluster 6,0,32.42
Y2-TA-2_LGD-1,jfkpdgcd-1,Cluster 17,0,68.77
Y2-TA-2_LGD-1,jfkjmmgi-1,Cluster 5,0,78.35
Y2-TA-2_LGD-1,jflgjhfb-1,Cluster 5,0,64.62
Y2-TA-2_LGD-1,jfllmmed-1,Cluster 17,0,46.15
Y2-TA-2_LGD-1,jfkoginn-1,Cluster 3,0,21.68
Y2-TA-2_LGD-1,ahlhickc-1,Cluster 17,0,100.70
Y2-TA-2_LGD-1,jflhgghe-1,Cluster 16,0,66.70
Y2-TA-2_LGD-1,ahlhnnmf-1,Cluster 1,0,47.05
Y2-TA-2_LGD-1,jflhmilb-1,Cluster 12,0,43.26
Y2-TA-2_LGD-1,jflhkmob-1,Cluster 12,0,36.40
Y2-TA-2_LGD-1,jflhkdgb-1,Cluster 3,0,31.79
