Cluster_Moran_GDF15_Stem_Signature,p,diff_med,p_adj
High-High,0.17897685389945453,-0.17363383223111734,0.7159074155978181
Low-High,0.4451324389404885,0.1258376942904007,0.890264877880977
High-Low,0.8973689237459808,-4.5986059882080054e-4,0.8973689237459808
Low-Low,0.7722913254611323,-1.6394895427154083e-4,0.8973689237459808
