Adenoma,distance_bin_um,mean_score,median_score,n_spots
Adenoma,150,0.07244407685094517,0.07294885949677923,2691
Adenoma,250,0.06477760864691262,0.06480931872153697,1474
Adenoma,350,0.06118426839815166,0.06106466306100374,1212
Adenoma,450,0.0610631950383255,0.06074136386797861,979
Adenoma,550,0.05916488335789801,0.058415098102337776,848
Adenoma,650,0.058292100548766754,0.057477037793825514,881
Adenoma,750,0.055988583774658596,0.054710185878763196,697
Adenoma,850,0.05415428059142681,0.053491746791236645,512
Adenoma,950,0.05319875667139567,0.053111225375367596,458
Adenoma,1050,0.055271135134090016,0.056104081547022545,406
Adenoma,1150,0.05345621614799997,0.05169058255553584,376
Adenoma,1250,0.05335541801515599,0.05227552731214516,336
Adenoma,1350,0.05349287709797904,0.05360970539306539,351
Adenoma,1450,0.05340035044148703,0.05285630474625336,258
Adenoma,1550,0.05079847256616022,0.04905239692898941,217
Adenoma,1650,0.050556920138743106,0.04988558727019041,187
Adenoma,1750,0.0490550717584261,0.04835964838052394,165
Adenoma,1850,0.050150593081834484,0.05061417200503155,156
Adenoma,1950,0.0452530413874298,0.043610108159474845,155
Adenoma,2050,0.044714075750636746,0.045536727235958474,121
Adenoma,2150,0.03953012087145526,0.0395433243418153,65
Adenoma,2250,0.03871172982111525,0.04003924902825881,51
Adenoma,2350,0.036353468847149954,0.036717992840697294,37
Adenoma,2450,0.029909864249660068,0.023832153083469393,26
Adenoma,2550,0.025254386953506715,0.025664992246292692,23
Adenoma,2650,0.027522361613965336,0.027797342172392422,17
Adenoma,2750,0.038638176110703616,0.038081803012094,10
Normal,150,0.06343173349250683,0.06218487225940604,1562
Normal,250,0.05521078165237524,0.05364975665127974,1144
Normal,350,0.049795377411150955,0.0493991505445274,1191
Normal,450,0.04689331326218704,0.046103906495089955,1174
Normal,550,0.043880419469529364,0.0427384939241203,985
Normal,650,0.040154427351817124,0.038012554390408515,863
Normal,750,0.038887865692962924,0.036936083763151516,566
Normal,850,0.03473134103231253,0.03419923375237373,310
Normal,950,0.034367923196932784,0.03270390970785287,192
Normal,1050,0.033198009632235063,0.03102352112567265,125
Normal,1150,0.03678197815676643,0.03451641026675666,95
Normal,1250,0.03417563639469943,0.02937129522193705,90
Normal,1350,0.03897706914001052,0.03380304598117733,89
Normal,1450,0.03436717781843908,0.0294432435840703,96
Normal,1550,0.032113199180576625,0.028355060160953436,90
Normal,1650,0.031495350567986066,0.029390171478406443,66
Normal,1750,0.03172632534102961,0.027796566237316255,60
Normal,1850,0.031639048469932075,0.02924023377369668,50
Normal,1950,0.030052887724421985,0.025441493033405527,42
Normal,2050,0.027851862284362358,0.026973720043735678,40
Normal,2150,0.033299312208032346,0.029828546961740282,40
Normal,2250,0.03744665999130144,0.03371526616195075,34
Normal,2350,0.031979625839704415,0.02764660687891958,35
Normal,2450,0.022437835223705235,0.022978437784661142,28
Normal,2550,0.025275414409504537,0.022770795874918648,31
Normal,2650,0.02577163829061047,0.02402787017675118,32
Normal,2750,0.028178577798336896,0.027240196271705513,23
Normal,2850,0.02429356977297296,0.027022704639244416,10
