Sample_ID,Adenoma,Cluster_Moran_GDF15_Senepy,k,n,prop
R4_large_2,Normal,High-Low,16,410,0.03902439024390244
R4_large_2,Normal,Low-High,11,410,0.026829268292682926
R4_large_2,Normal,Low-Low,382,410,0.9317073170731708
R4_large_3,Low-grade,High-High,259,864,0.29976851851851855
R4_large_3,Low-grade,High-Low,138,864,0.1597222222222222
R4_large_3,Low-grade,Low-High,256,864,0.2962962962962963
R4_large_3,Low-grade,Low-Low,211,864,0.24421296296296297
R4_large_3,Normal,High-High,4,189,0.021164021164021163
R4_large_3,Normal,High-Low,28,189,0.14814814814814814
R4_large_3,Normal,Low-High,15,189,0.07936507936507936
R4_large_3,Normal,Low-Low,142,189,0.7513227513227513
R4_large_4,Low-grade,High-High,137,272,0.5036764705882353
R4_large_4,Low-grade,High-Low,6,272,0.022058823529411766
R4_large_4,Low-grade,Low-High,62,272,0.22794117647058823
R4_large_4,Low-grade,Low-Low,67,272,0.24632352941176472
R4_large_4,Normal,High-High,36,646,0.05572755417956656
R4_large_4,Normal,High-Low,10,646,0.015479876160990712
R4_large_4,Normal,Low-High,258,646,0.3993808049535604
R4_large_4,Normal,Low-Low,342,646,0.5294117647058824
R4_large_5,Low-grade,High-High,17,73,0.2328767123287671
R4_large_5,Low-grade,High-Low,22,73,0.3013698630136986
R4_large_5,Low-grade,Low-High,2,73,0.0273972602739726
R4_large_5,Low-grade,Low-Low,32,73,0.4383561643835616
R4_large_5,Normal,High-High,27,175,0.15428571428571428
R4_large_5,Normal,High-Low,7,175,0.04
R4_large_5,Normal,Low-High,95,175,0.5428571428571428
R4_large_5,Normal,Low-Low,46,175,0.26285714285714284
R4_small_1,Low-grade,High-High,1,15,0.06666666666666667
R4_small_1,Low-grade,High-Low,0,15,0
R4_small_1,Low-grade,Low-High,14,15,0.9333333333333333
R4_small_1,Low-grade,Low-Low,0,15,0
R4_small_1,Normal,High-High,3,95,0.031578947368421054
R4_small_1,Normal,High-Low,0,95,0
R4_small_1,Normal,Low-High,23,95,0.24210526315789474
R4_small_1,Normal,Low-Low,69,95,0.7263157894736842
R4_small_2,Low-grade,High-High,8,49,0.16326530612244897
R4_small_2,Low-grade,High-Low,1,49,0.02040816326530612
R4_small_2,Low-grade,Low-High,28,49,0.5714285714285714
R4_small_2,Low-grade,Low-Low,12,49,0.24489795918367346
R4_small_2,Normal,High-High,3,184,0.016304347826086956
R4_small_2,Normal,High-Low,2,184,0.010869565217391304
R4_small_2,Normal,Low-High,67,184,0.3641304347826087
R4_small_2,Normal,Low-Low,112,184,0.6086956521739131
