combined_cluster,p,diff_med,p_adj
1,1.4305114746093748e-6,-0.1579928825935011,4.291534423828124e-6
2,9.536743164062499e-7,0.35254699399126577,4.291534423828124e-6
4,4.7683715820312495e-7,0.12948692347985635,4.291534423828124e-6
7,2.622604370117187e-5,-0.016174244013932745,5.900859832763671e-5
6,3.337860107421874e-5,-0.1280870738748222,6.0081481933593736e-5
5,5.245208740234374e-5,-0.03129200764859319,7.867813110351561e-5
3,2.1314620971679685e-4,-0.13025325022976025,2.740451267787388e-4
8,0.17762201146169293,0.0014577259475218659,0.19982476289440454
0,0.7261838912963866,-0.005019183007989869,0.7261838912963866
