Cluster_Moran_GDF15_Senepy,p,diff_med,p_adj
High-Low,0.0354286675718186,-0.02036718685051247,0.09746290860841944
Low-High,0.04873145430420972,0.24883218254740347,0.09746290860841944
High-High,0.17750257997936017,-0.1998833682995721,0.17750257997936017
Low-Low,0.15044395525118054,-0.12244981894639168,0.17750257997936017
