Cluster_Moran_GDF15_ADT_CD8A,p,diff_med,p_adj
High-Low,7.62939453125e-6,0.34671981888872483,1.52587890625e-5
Low-High,3.814697265625e-6,-0.5013363171355499,1.52587890625e-5
Low-Low,6.814695988851086e-4,0.24837767683322517,9.086261318468114e-4
High-High,0.020412445068359375,-0.02318840579710145,0.020412445068359375
