Cluster_Moran_GDF15_CD8_T,p,diff_med,p_adj
Low-High,4.7683715820312495e-7,-0.2676042415556208,1.9073486328124998e-6
High-Low,9.90706381988885e-5,0.2927695938068746,1.98141276397777e-4
High-High,0.7809653797270136,-0.008319666529998633,1
Low-Low,1,0.034043819957132675,1
