Cluster_Moran_GDF15_CD8_T,p,diff_med,p_adj
High-High,0.02416247588193464,-0.04853387259858443,0.09664990352773856
Low-High,0.09281768011563146,-0.06307339449541284,0.18563536023126292
Low-Low,0.1973684210526316,0.189880059970015,0.26315789473684215
High-Low,0.6724716202270382,-0.08797653958944279,0.6724716202270382
