Cluster_Moran_GDF15_Stem_Signature,p,diff_med,p_adj
High-High,9.536743164062499e-7,0.5243512908013273,1.9073486328124998e-6
Low-Low,9.536743164062499e-7,-0.7377805842958656,1.9073486328124998e-6
Low-High,3.3378601074218746e-6,0.34669691906534006,4.450480143229166e-6
High-Low,1.1427229488138323e-4,-0.0624340186903198,1.1427229488138323e-4
