Cluster_Moran_GDF15_Senepy,p,diff_med,p_adj
High-High,4.7683715820312495e-7,0.3601095085470085,1.9073486328124998e-6
Low-Low,6.675720214843749e-6,-0.49891814204314205,1.3351440429687498e-5
High-Low,0.03702765626398386,-0.015602861108854896,0.04937020835197848
Low-High,0.14651679992675778,0.1616657587283537,0.14651679992675778
