gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TGIF1,1.100950560847599e-19,1.0981411889984216,0.86,0.483,1.991069089292883e-15
HMGB2,1.1345819068204116e-19,1.4098848192000788,0.728,0.306,2.0518913784847142e-15
TK1,1.4700718392089965e-19,1.924271119516401,0.588,0.172,2.6586249212094702e-15
CHCHD2,1.550336460324486e-19,0.8907706614735256,0.944,0.761,2.8037834884968328e-15
HMGA1,2.001539398430951e-19,1.4837034062268468,0.74,0.35,3.619784002062375e-15
LMNB1,3.1233551316620543e-19,1.386817328716801,0.709,0.278,5.6485877556108254e-15
IQGAP3,3.325645771426433e-19,2.1626221590855566,0.505,0.106,6.0144303776247044e-15
CCT6A,4.1632303924890386e-19,1.2483060736697489,0.806,0.456,7.529202164816426e-15
CENPM,5.747700517688242e-19,1.638314495229216,0.674,0.272,1.0394716386239185e-14
TNS4,6.161502962257998e-19,1.944035466614667,0.528,0.122,1.114307810724359e-14
TIMM13,6.228238865699023e-19,0.9749042065362702,0.882,0.611,1.1263769988616682e-14
CCL24,7.341326997857286e-19,1.4261813862520332,0.695,0.294,1.3276789875624902e-14
POLD2,7.671599224099172e-19,1.504454961268038,0.678,0.272,1.3874087196783351e-14
GPSM2,9.729251925867625e-19,1.7350002620236873,0.584,0.161,1.7595352107931598e-14
HMMR,1.1096990494728603e-18,1.9523823763153125,0.584,0.183,2.006890730971668e-14
HOXB8,1.2258588670883281e-18,1.9857810714068518,0.526,0.122,2.2169657611292415e-14
FANCI,1.359191333491878e-18,1.9848636253715233,0.561,0.156,2.4580975266200613e-14
SPC24,1.7733068659122884e-18,2.222039869871108,0.497,0.111,3.207025467002374e-14
CKAP5,1.951976311493261e-18,1.139693772492936,0.814,0.478,3.530149159335563e-14
NCAPG2,2.4092579385201735e-18,1.840802934685465,0.592,0.194,4.357142981813734e-14
JAG1,2.5690724167457086e-18,1.0135997871066624,0.872,0.594,4.646167465684614e-14
DPEP1,2.6083552830626295e-18,1.9443883688087624,0.507,0.111,4.717210529418765e-14
KIFC1,2.627154008124181e-18,2.1040351806369184,0.53,0.139,4.751208023692581e-14
REG4,3.3628806192933602e-18,1.3343773223629132,0.788,0.406,6.081769599992042e-14
KCNQ1,3.4356552466001813e-18,1.4533244126596236,0.619,0.189,6.213382513476428e-14
PRKDC,3.881908013165877e-18,1.241732775313864,0.767,0.4,7.020430641810488e-14
ECT2,4.075260584387355e-18,1.6274471792295293,0.619,0.211,7.370108766864531e-14
ZWINT,4.2158079927279746e-18,1.5617253051499551,0.656,0.244,7.624288754848542e-14
MIF,4.9220138020567134e-18,1.5059912962700852,0.689,0.311,8.901461961019566e-14
GTF2IRD1,6.81419767877531e-18,1.6150246974404172,0.61,0.183,1.2323476502065148e-13
GDF15,7.078372143510424e-18,1.7715791107882137,0.551,0.15,1.2801236021538602e-13
APCDD1,7.542526502005768e-18,2.832091697117076,0.458,0.094,1.364065917887743e-13
CCNB1,7.84631510130879e-18,1.8443447308098224,0.534,0.139,1.4190060860716947e-13
PDZD8,8.187012465802472e-18,1.1544955065141902,0.821,0.494,1.480621204440377e-13
HES6,9.061906706479042e-18,1.4015237428814644,0.742,0.339,1.6388458278667348e-13
PRDX2,9.426598519526317e-18,0.8680821406867251,0.942,0.728,1.7048003422563343e-13
PSMB5,9.875953608558979e-18,1.2512552516856392,0.761,0.422,1.7860662101078912e-13
RHPN1,1.2165306602965902e-17,1.3980411397780577,0.641,0.211,2.2000956991463834e-13
EVPL,1.2348869918627696e-17,1.4311003174893329,0.668,0.256,2.2332931247838188e-13
MSX2,1.64823781256141e-17,2.912742637859158,0.41,0.056,2.98083808401731e-13
PRC1,1.6947730707926283e-17,1.7949762777520406,0.528,0.133,3.0649970985284684e-13
CDK1,2.0753105665998512e-17,2.1250945536118024,0.491,0.117,3.753199159695831e-13
YAP1,2.1184986092590044e-17,1.2692812118296488,0.724,0.356,3.8313047348449094e-13
PLP2,2.1683950579929612e-17,1.3474784503955455,0.682,0.272,3.9215424623802703e-13
NOX1,2.476233978574962e-17,1.5023936024910522,0.641,0.239,4.478269150252819e-13
L1TD1,2.4877677173790117e-17,2.324435397162847,0.485,0.111,4.499127916879943e-13
EPB41L2,2.5057160393035217e-17,0.8279005252047755,0.924,0.672,4.531587457080419e-13
PCNA,2.512231504510234e-17,1.2893111583183563,0.695,0.272,4.543370675906758e-13
MRTO4,2.528356865205582e-17,1.4415687463679967,0.604,0.183,4.572533390724296e-13
SUPT4H1,3.076206046931289e-17,2.2259028602184685,0.46,0.089,5.563318635875236e-13
HJURP,3.85169131215942e-17,2.321260762340884,0.462,0.094,6.965783738040311e-13
NME2,4.274660983559393e-17,1.2874695920541877,0.73,0.394,7.730724388767162e-13
TBX3,6.19047594145579e-17,1.655808251401997,0.602,0.211,1.1195475740122795e-12
