p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,delta_pct
1.1372514899281702e-186,0.3453510033012148,0.941,0.859,2.056719319535096e-182,0,TPM1,0.08199999999999996
2.475465994936795e-178,0.5150171533144001,0.878,0.742,4.476880251843194e-174,0,MUC2,0.136
2.451560767752122e-177,0.70808023937543485,0.721,0.61,4.4336476484797124e-173,0,SERPINA1,0.11099999999999999
2.685413512232502e-175,0.597740737064141,0.72,0.624,4.85657033687248e-171,0,ERN2,0.09599999999999997
8.39255435799042e-171,0.44285005549255807,0.865,0.756,1.5177934556425677e-166,0,ABR,0.10899999999999999
2.424582244200139e-165,0.6360476085349798,0.671,0.594,4.384856988635951e-161,0,CCDC14,0.07700000000000007
5.974028226899518e-162,0.45935124857750287,0.882,0.794,1.0804030048347778e-157,0,CDK5RAP3,0.08799999999999997
3.8596850839929075e-159,0.7473284213242737,0.626,0.532,6.9802404744011735e-155,0,CRACR2A,0.09399999999999997
7.802673860871712e-156,0.5433771364963618,0.734,0.659,1.411113567738649e-151,0,NEDD4L,0.07499999999999996
2.158032493453942e-152,0.4278973572676108,0.843,0.744,3.9028017644114545e-148,0,AKAP1,0.09899999999999998
4.16767060122996e-150,0.362633164274099,0.979,0.878,7.5372322823243825e-146,0,FCGBP,0.10099999999999998
4.051206018314797e-148,0.40206012330903906,0.799,0.7,7.32660608412231e-144,0,HOXB6,0.09900000000000009
1.3941595470150125e-142,0.6193540465520242,0.669,0.587,2.52133754077665e-138,0,ITPR2,0.08200000000000007
7.650001512849029e-140,0.5891923813089521,0.669,0.566,1.3835027735987468e-135,0,NUPR1,0.10300000000000009
1.2016498717788752e-136,0.4188742830727188,0.827,0.72,2.173183793112096e-132,0,SLC25A6,0.10699999999999998
1.3152623764493805e-133,0.3489694782332182,0.845,0.781,2.3786520078087047e-129,0,LUC7L3,0.06399999999999995
1.9497112516087214e-132,0.7579311587011677,0.498,0.364,3.5260527985343725e-128,0,LGR5,0.134
5.176125931212613e-130,0.43078002738675325,0.821,0.734,9.36102374659801e-126,0,MAT2A,0.08699999999999997
1.132484920811899e-128,0.42623110582977297,0.759,0.65,2.0480989792883193e-124,0,ETS2,0.10899999999999999
3.651335468814254e-128,0.772726059129881,0.564,0.454,6.603440195350578e-124,0,HEPACAM2,0.10999999999999993
3.168388240314766e-127,0.4945170685963658,0.711,0.636,5.7300301326092544e-123,0,FAM3D,0.07499999999999996
3.6789065384156928e-127,0.4348479386805941,0.799,0.709,6.65330247472478e-123,0,PATJ,0.09000000000000008
5.217822985785673e-127,0.40554965813573585,0.801,0.698,9.436432869793389e-123,0,MARCKSL1,0.10300000000000009
5.771284975786041e-126,0.563096027382576,0.715,0.642,1.0437368878709054e-121,0,FAM83E,0.07299999999999995
4.860455645716568e-124,0.5027673991777974,0.753,0.669,8.790134035278413e-120,0,MYO7B,0.08399999999999996
9.563753777956374e-124,0.7425528032616746,0.566,0.484,1.7296048707434103e-119,0,KLK1,0.08199999999999996
1.3330893299476295e-120,0.4571654155418583,0.728,0.639,2.4108920532102878e-116,0,STARD10,0.08899999999999997
1.0492688239137145e-118,0.4131029925749776,0.75,0.672,1.8976026680479526e-114,0,YBX3,0.07799999999999996
5.12105249568881e-116,0.5679158326547783,0.638,0.548,9.261423438453212e-112,0,QTRT1,0.08999999999999997
