Cluster_Moran_GDF15_ADT_CD8A,p,diff_med,p_adj
Low-Low,0.014275885792913657,0.28039428179544756,0.05710354317165463
High-Low,0.043687650498796006,-0.23412880531264385,0.08737530099759201
High-High,0.3188107196450015,-0.016773722627737228,0.4250809595266687
Low-High,0.5768822317220068,0.0441008670328943,0.5768822317220068
