Cluster_Moran_Senepy_Stem_Signature,p,diff_med,p_adj
High-High,9.536743164062499e-7,0.615686944634313,1.9073486328124996e-6
Low-High,1.4305114746093748e-6,0.16429698328713083,1.9073486328124996e-6
Low-Low,9.536743164062499e-7,-0.437228147373195,1.9073486328124996e-6
High-Low,6.411516306549503e-5,-0.3746213818074215,6.411516306549503e-5
