Cluster_Moran_Senepy_Stem_Signature,p,diff_med,p_adj
High-High,0.1530296329057939,-0.17663858963794865,0.5122784901322784
High-Low,0.2561392450661392,0.02640465716919314,0.5122784901322784
Low-High,0.3979556734974692,0.039692175619327946,0.5306075646632922
Low-Low,0.5330525150787004,-0.01675262698799091,0.5330525150787004
