gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRSS23,1.8178887611087626e-7,0.6937616740218553,0.812,0.567,0.003287651824465197
ACP6,2.5862186932870127e-7,0.8781669860424182,0.431,0.183,0.004677176506809562
EPDR1,2.951354782896881e-7,0.9270985588222793,0.416,0.178,0.005337525124869009
NSUN2,4.2247216189521414e-7,0.6529892214314978,0.718,0.489,0.007640409047874948
LAMB2,4.3043265245076013e-7,0.5789744866965336,0.532,0.25,0.007784374519571997
GATD1,4.3807197354719934e-7,0.6119792462298513,0.757,0.489,0.0079225316416011
ECM1,4.630868190594597e-7,0.7461777526736866,0.565,0.294,0.008374925122690328
KAZALD1,5.025358481778923e-7,1.0229615437673436,0.363,0.144,0.009088360814297184
SRPX2,5.074705984779417e-7,1.0934717983236664,0.33,0.122,0.009177605773473575
B3GALNT2,5.163084960793992e-7,0.8604213862039123,0.367,0.139,0.009337439151595935
TGFBI,6.21908684528054e-7,0.7301571216277731,0.748,0.494,0.011247218559689857
TGFBR2,7.333487531500916e-7,0.5282351919608632,0.872,0.656,0.013262612200719406
STX1A,7.344280505928954e-7,1.2920236729632633,0.247,0.067,0.013282131294972514
NECTIN4,7.506857947380872e-7,1.1035108262216857,0.313,0.111,0.013576152597838308
NTN4,8.942434479423246e-7,0.5027082749777962,0.513,0.244,0.01617239275603694
CDHR1,9.131514595475183e-7,0.7744680830228698,0.654,0.406,0.01651434414591687
HILPDA,9.332006365554158e-7,0.978863012444561,0.266,0.078,0.016876933512104696
RCN2,9.496351010245997e-7,0.7853761823606509,0.392,0.161,0.017174150802029886
SBSPON,1.07891744318313e-6,1.828227708511542,0.212,0.05,0.019512221959966908
PDIA6,1.1745780698903302e-6,0.6856022479904591,0.652,0.417,0.02124224439396662
LIF,1.2920760318752595e-6,0.8781041089363817,0.429,0.194,0.023367195036464068
NFE2L3,1.5871118581755495e-6,1.125926298961409,0.307,0.111,0.028702917955104813
PLA2G2A,1.6547695948967504e-6,0.38110712639484357,0.691,0.45,0.029926508123707733
REG3A,1.7092192335875957e-6,2.869076280669711,0.151,0.017,0.03091122983943167
LAD1,1.810262946778837e-6,0.3662020984165242,0.897,0.756,0.03273860539249527
LEFTY1,1.8796127541465406e-6,0.8867602368733745,0.61,0.361,0.033992796658740186
P4HB,1.9943270506043286e-6,0.43064453444739415,0.895,0.667,0.03606740471017928
LY6G6D,2.061685649995137e-6,2.1065579668739884,0.206,0.05,0.03728558498016205
NPNT,2.8524237249080258e-6,0.7258233042492637,0.577,0.333,0.051586083064961645
EMC10,3.7527766107308077e-6,0.4370470954988439,0.841,0.661,0.06786896500506666
NAXE,3.8099212487924986e-6,0.7874400245147386,0.474,0.25,0.06890242578441233
TIMP1,4.164488096177293e-6,0.26930206019882497,0.742,0.517,0.07531476721936635
CD55,4.516251476859006e-6,0.6352137567462216,0.784,0.594,0.08167640795899513
GAS6,4.679056880019712e-6,0.5443192242683104,0.724,0.483,0.0846207436751565
MUC5AC,5.142692281418123e-6,1.9832218917562527,0.219,0.067,0.09300558990944675
ENDOG,5.643951471438511e-6,0.7553026076626281,0.419,0.2,0.10207086236096548
SAMD1,6.002938964823348e-6,0.5658186159343074,0.715,0.472,0.10856315117883025
C1QTNF6,7.370397763109138e-6,0.7297155832395255,0.386,0.167,0.13329364354582876
DEFA5,1.0431554941449961e-5,3.5315810388767073,0.153,0.028,0.18865467111612255
MEGF6,1.052365894727969e-5,0.9159034865666851,0.359,0.167,0.1903203720615532
PRDX4,1.104966129870889e-5,0.6191272317593586,0.491,0.267,0.19983312458715027
KLK1,1.141502906034291e-5,0.6304119501387762,0.699,0.478,0.2064408005563015
IL33,1.1748174582117089e-5,2.08711653024893,0.169,0.039,0.21246573731758756
ATAT1,1.3316265485966764e-5,0.6447340547572733,0.384,0.172,0.24082466131370892
AGRN,1.348677275641845e-5,0.4887471837953602,0.816,0.583,0.24390828529982767
TNFRSF6B,1.3595453539389802e-5,0.7601370007965897,0.48,0.256,0.24587377725986456
CFB,1.3922751294953282e-5,0.7013315836519424,0.581,0.339,0.2517929571692301
COL7A1,1.5192629959685922e-5,0.7399939632302417,0.414,0.2,0.2747587128209199
CALU,1.7376379867304063e-5,0.36805203414885124,0.849,0.606,0.31425182990019396
HYAL1,1.768358067829502e-5,0.7488408299997342,0.276,0.106,0.3198075565669654
SMIM20,1.7985235553727878e-5,0.5518801801919997,0.468,0.244,0.32526298498916867
GALNT10,1.902314012123634e-5,0.47908325533204144,0.812,0.628,0.3440334890925592
KLK6,2.0689463480792473e-5,2.14891306416596,0.155,0.033,0.3741689470501319
ZBED3,2.139242034754779e-5,0.7983689899532931,0.219,0.067,0.3868819219854018
C14orf93,2.3920004408772363e-5,0.6688672303706154,0.282,0.111,0.43259327973264816
LTBP1,2.7482510160833997e-5,0.7710439544695633,0.377,0.183,0.49702119625868285
HEXB,2.780067774660033e-5,0.37009593838177834,0.922,0.806,0.502775257047267
BMP4,3.0039491782566392e-5,0.737007464329134,0.472,0.272,0.5432642088877132
SERPINE2,3.8260419728620054e-5,0.7352843891666698,0.39,0.194,0.6919396907920937
ADAM9,3.8628122084636315e-5,0.4427781904717427,0.649,0.406,0.6985895879006477
POFUT1,4.320108165082094e-5,0.566955002824013,0.487,0.267,0.7812915616550967
RCN1,4.32095809820661e-5,0.7839509282473054,0.365,0.183,0.7814452720606654
IDE,4.428961023764387e-5,0.6053797249258419,0.491,0.272,0.8009776011477895
ELP5,4.573489574598666e-5,0.4510505578854621,0.643,0.406,0.8271155895661688
C1QTNF3,4.5764143394384756e-5,1.5424493784225737,0.167,0.044,0.8276445332874484
UBXN8,5.07693212495171e-5,1.1051936957376385,0.179,0.05,0.9181631747975167
PRXL2A,5.156920314074258e-5,0.36115898727047524,0.852,0.661,0.9326290388003295
CCDC112,5.3907446471352386e-5,0.5886825881415281,0.297,0.122,0.9749161694344078
PVR,5.41308508098664e-5,0.4871105114481279,0.476,0.261,0.9789564368964339
AIMP1,5.6121181673902274e-5,0.4366911620880519,0.755,0.533,1
ARSJ,5.705037378481774e-5,0.953913885818598,0.206,0.067,1
DAG1,5.958177767319208e-5,0.39854747827841164,0.699,0.456,1
RNASEH1,7.238080743925076e-5,0.6261736093044699,0.476,0.256,1
UGGT1,8.074615804835383e-5,0.3602010765297208,0.676,0.422,1
GANAB,8.610445399695648e-5,0.9756280736987386,0.198,0.067,1
SPATA20,8.685799203681302e-5,0.401348708868143,0.816,0.639,1
CCL20,8.915701891311672e-5,0.8832848729758356,0.546,0.356,1
PDIA3,9.082807301547189e-5,0.5006171844524724,0.703,0.522,1
CTSE,1.1899285044494248e-4,0.8346670089963393,0.464,0.283,1
USP3,1.32228949734779e-4,0.37627361240311513,0.742,0.522,1
C1QTNF1,1.4247038766498573e-4,0.7263446282598178,0.315,0.15,1
GALNT1,1.4335367140696562e-4,0.47613283856526445,0.563,0.333,1
IZUMO4,1.4478047911750026e-4,0.8703175879702134,0.186,0.061,1
NPW,1.5036152566732613e-4,1.263929621572062,0.167,0.05,1
NPIPB15,1.58626674382877e-4,0.8654595795299698,0.196,0.067,1
POGLUT2,1.586869046646339e-4,1.4199776976802627,0.13,0.028,1
THNSL2,1.688026646406105e-4,0.5307443453451202,0.357,0.178,1
